date,hour,quarter,time,household_id,plug_1_15m_W,plug_2_15m_W,plug_3_15m_W,plug_4_15m_W,total_power_15m_W,is_peak_hour_house,is_peak_quarter,is_peak_quarter_next,total_power_next_quarter_W
2025-11-01,0,0,00:00:00,H1,18.28281295487133,40.9603528595528,13.776627771601666,54.08273249695679,126.47664293512314,0,0,0.0,123.74429102487197
2025-11-01,0,1,00:15:00,H1,18.503981084253425,40.17021172551445,12.957741422008082,53.74020354837429,123.74429102487197,0,0,0.0,122.8871045910253
2025-11-01,0,2,00:30:00,H1,17.64726369279608,39.47904464605054,12.492882777839863,50.973708720351944,122.8871045910253,0,0,0.0,122.51747090948614
2025-11-01,0,3,00:45:00,H1,17.399856172222982,39.41692431079183,12.71568428685102,51.149480955706316,122.51747090948614,0,0,0.0,130.53632412216294
2025-11-01,1,0,01:00:00,H1,26.4553828049498,41.97681491417784,9.178634212714114,52.02027689565521,130.53632412216294,0,0,0.0,125.45453824961304
2025-11-01,1,1,01:15:00,H1,24.952857525312545,40.59096774078057,8.970968533700118,50.25057035580206,125.45453824961304,0,0,0.0,122.78135671200609
2025-11-01,1,2,01:30:00,H1,25.922593294922876,39.419138939843464,8.69857933707285,50.28222535077524,122.78135671200609,0,0,0.0,120.4588786349982
2025-11-01,1,3,01:45:00,H1,24.626198949052757,37.16779090411202,8.48687823833725,48.72378652500614,120.4588786349982,0,0,0.0,123.23604045502275
2025-11-01,2,0,02:00:00,H1,12.968861415025394,48.61629929551975,17.743826921061466,42.437990459126716,123.23604045502275,0,0,0.0,117.96140137604246
2025-11-01,2,1,02:15:00,H1,12.25740380712411,47.62950677778953,17.204702270566735,40.38340226187611,117.96140137604246,0,0,0.0,121.73723873941809
2025-11-01,2,2,02:30:00,H1,12.669045335923819,47.484672378462236,17.849949047017162,44.09004833003351,121.73723873941809,0,0,0.0,123.93343763297665
2025-11-01,2,3,02:45:00,H1,12.77954674861382,48.70170941281366,18.071289397801493,44.83667805808782,123.93343763297665,0,0,0.0,140.88323242031885
2025-11-01,3,0,03:00:00,H1,27.144761137555683,43.59881138836218,7.477187696789369,62.389150691753194,140.88323242031885,0,0,0.0,148.75374567654097
2025-11-01,3,1,03:15:00,H1,28.72660608175163,48.0209689803412,8.146914070781085,63.98482627681401,148.75374567654097,0,0,0.0,144.487713553515
2025-11-01,3,2,03:30:00,H1,28.802561675691962,45.69328478062929,8.102300286441226,59.663303185206466,144.487713553515,0,0,0.0,146.46243158771122
2025-11-01,3,3,03:45:00,H1,28.374224172124883,46.07380203716132,7.978439081122797,61.285667314564535,146.46243158771122,0,0,0.0,151.22694996775937
2025-11-01,4,0,04:00:00,H1,29.364606820329907,50.261029128055135,11.396798554163121,60.73807769811515,151.22694996775937,0,0,0.0,149.93869382595466
2025-11-01,4,1,04:15:00,H1,29.437239293294475,48.72044977059657,11.297088844246467,61.83877990685341,149.93869382595466,0,0,0.0,152.67351459391583
2025-11-01,4,2,04:30:00,H1,30.00550691720629,48.59302640811741,11.550136307927675,61.838109256526984,152.67351459391583,0,0,0.0,145.54643672833615
2025-11-01,4,3,04:45:00,H1,28.22735858542737,47.22963532191351,11.084721854166983,59.138583278495766,145.54643672833615,0,0,0.0,173.17410650252634
2025-11-01,5,0,05:00:00,H1,31.232942858038168,52.3033001808374,20.46583061163403,67.99229352010448,173.17410650252634,0,0,0.0,183.0455608233885
2025-11-01,5,1,05:15:00,H1,34.54936181634304,55.860663455862614,22.09845630177903,71.99328653428435,183.0455608233885,0,0,0.0,170.44285675817116
2025-11-01,5,2,05:30:00,H1,30.9847169200115,51.896110405817495,21.48005303994364,66.87821391023645,170.44285675817116,0,0,0.0,182.48941772738615
2025-11-01,5,3,05:45:00,H1,33.16921274478047,54.200005279440816,22.41939040764056,72.96257943292443,182.48941772738615,0,0,0.0,221.28823411748508
2025-11-01,6,0,06:00:00,H1,28.75149754671265,81.0196619981276,22.032684725007996,91.58980506703733,221.28823411748508,0,0,0.0,230.36315733179646
2025-11-01,6,1,06:15:00,H1,29.88110599831109,81.11133238119123,23.644878960967826,93.29080479389813,230.36315733179646,0,0,0.0,206.10290742187476
2025-11-01,6,2,06:30:00,H1,27.311964607639627,71.84110690127625,21.312662319000808,82.7646495832333,206.10290742187476,0,0,0.0,226.20953253322932
2025-11-01,6,3,06:45:00,H1,29.466428566292045,80.04235228184118,23.54938275547759,90.26244111078425,226.20953253322932,0,0,0.0,252.79549489538522
2025-11-01,7,0,07:00:00,H1,42.394976762934824,90.96473334280579,28.028920995007596,90.03398975923055,252.79549489538522,0,0,0.0,256.9712142216694
2025-11-01,7,1,07:15:00,H1,40.958361395991005,93.0157482493317,28.68341115633019,91.58874763932461,256.9712142216694,0,0,0.0,252.96898952309957
2025-11-01,7,2,07:30:00,H1,41.6297080711258,92.7717283664103,28.07477205825692,90.1552762331475,252.96898952309957,0,0,0.0,245.70133400694831
2025-11-01,7,3,07:45:00,H1,41.653895548284865,92.2145203674571,26.49543251009314,88.19802257385612,245.70133400694831,0,0,0.0,261.17371145470764
2025-11-01,8,0,08:00:00,H1,44.862998822040176,88.78452959057267,24.095023973987022,107.77231471660365,261.17371145470764,0,0,0.0,272.37222367266327
2025-11-01,8,1,08:15:00,H1,46.818838861464734,93.92745630095727,25.422108171191688,108.60646126100295,272.37222367266327,0,0,0.0,261.8611147666228
2025-11-01,8,2,08:30:00,H1,43.56142615661796,86.86804078683726,24.72917140827793,106.60001271202347,261.8611147666228,0,0,0.0,275.7169548940072
2025-11-01,8,3,08:45:00,H1,46.63929234873533,94.26878434556629,25.724325441130212,117.69549175607096,275.7169548940072,0,0,0.0,283.8628443057456
2025-11-01,9,0,09:00:00,H1,48.61157931079552,103.70369642315744,21.825280158506498,106.3358877980087,283.8628443057456,0,0,0.0,284.6012199251683
2025-11-01,9,1,09:15:00,H1,50.057462307877174,106.09431404294871,21.305869866879103,103.84656987621172,284.6012199251683,0,0,0.0,274.9004864288839
2025-11-01,9,2,09:30:00,H1,48.71828821924493,103.06697503959043,20.41261989929787,103.79914455562836,274.9004864288839,0,0,0.0,281.85376205399615
2025-11-01,9,3,09:45:00,H1,48.24129919061166,105.54688579242664,21.48868309731814,103.63287020423583,281.85376205399615,0,0,0.0,338.17015659999504
2025-11-01,10,0,10:00:00,H1,52.277951466123184,117.87645393143967,35.02774252070848,133.02100772650908,338.17015659999504,1,0,0.0,325.16561892748774
2025-11-01,10,1,10:15:00,H1,50.22208731054751,112.08035373312016,33.32530760604137,141.6646649056488,325.16561892748774,1,0,1.0,488.682636278603
2025-11-01,10,2,10:30:00,H1,76.40459024053722,167.50388810011316,49.74773252028031,193.1158194149883,488.682636278603,1,1,0.0,319.5151496637746
2025-11-01,10,3,10:45:00,H1,49.00743215577524,107.14638895008291,32.38663504536299,127.86203497005175,319.5151496637746,1,0,0.0,296.4146289603479
2025-11-01,11,0,11:00:00,H1,44.33582967980752,107.6815142945237,25.683210812115135,116.05877888147461,296.4146289603479,0,0,0.0,310.07429060669847
2025-11-01,11,1,11:15:00,H1,47.486985386421324,113.87752309963017,27.118578342065582,120.47319378981052,310.07429060669847,0,0,0.0,335.6692854843946
2025-11-01,11,2,11:30:00,H1,51.68897568279175,126.31437302932527,29.51921537246699,133.85948347669188,335.6692854843946,0,0,0.0,317.3744372865386
2025-11-01,11,3,11:45:00,H1,48.12198952128781,114.79811445099682,27.21118511451763,122.30171837774216,317.3744372865386,0,0,0.0,337.1226406389842
2025-11-01,12,0,12:00:00,H1,56.567269585675945,118.74525670312272,26.297262147233305,137.2311740228916,337.1226406389842,1,0,0.0,328.4215513931876
2025-11-01,12,1,12:15:00,H1,54.34360189326652,119.40866836744793,25.976983021459517,137.2324548937422,328.4215513931876,1,0,1.0,457.0405979884573
2025-11-01,12,2,12:30:00,H1,76.95960887863855,166.17407048916195,35.371733006113274,186.51176862143902,457.0405979884573,1,1,0.0,353.133700785568
2025-11-01,12,3,12:45:00,H1,56.28521653595405,125.07288237443088,25.925318724998366,139.91444023547032,353.133700785568,1,0,0.0,362.66597637327413
